lakename,year,froze
suwa,1443,1
suwa,1444,1
suwa,1445,1
suwa,1446,1
suwa,1447,1
suwa,1448,1
suwa,1449,1
suwa,1450,1
suwa,1451,1
suwa,1452,1
suwa,1453,1
suwa,1454,1
suwa,1455,1
suwa,1456,1
suwa,1458,1
suwa,1459,1
suwa,1460,1
suwa,1461,1
suwa,1462,1
suwa,1463,1
suwa,1464,1
suwa,1465,1
suwa,1466,1
suwa,1467,1
suwa,1468,1
suwa,1469,1
suwa,1470,1
suwa,1471,1
suwa,1472,1
suwa,1473,1
suwa,1474,1
suwa,1475,1
suwa,1476,1
suwa,1477,1
suwa,1478,1
suwa,1479,1
suwa,1480,1
suwa,1481,1
suwa,1482,1
suwa,1483,1
suwa,1484,1
suwa,1485,1
suwa,1486,1
suwa,1487,1
suwa,1488,1
suwa,1489,1
suwa,1490,1
suwa,1491,1
suwa,1492,1
suwa,1493,1
suwa,1494,1
suwa,1495,1
suwa,1496,1
suwa,1497,1
suwa,1498,1
suwa,1499,1
suwa,1500,1
suwa,1501,1
suwa,1502,1
suwa,1503,1
suwa,1504,1
suwa,1505,0
suwa,1506,1
suwa,1507,0
suwa,1508,0
suwa,1509,0
suwa,1510,0
suwa,1511,0
suwa,1512,0
suwa,1513,0
suwa,1514,0
suwa,1515,1
suwa,1516,1
suwa,1517,1
suwa,1518,1
suwa,1519,1
suwa,1520,1
suwa,1521,1
suwa,1522,1
suwa,1523,1
suwa,1524,1
suwa,1525,1
suwa,1526,1
suwa,1527,1
suwa,1528,1
suwa,1529,1
suwa,1530,1
suwa,1531,1
suwa,1532,1
suwa,1533,1
suwa,1534,1
suwa,1535,1
suwa,1536,1
suwa,1537,1
suwa,1538,1
suwa,1539,1
suwa,1540,1
suwa,1541,1
suwa,1542,1
suwa,1543,1
suwa,1544,1
suwa,1545,1
suwa,1546,0
suwa,1547,1
suwa,1548,1
suwa,1549,1
suwa,1550,1
suwa,1551,1
suwa,1552,1
suwa,1553,1
suwa,1554,1
suwa,1555,0
suwa,1556,1
suwa,1557,1
suwa,1558,1
suwa,1559,1
suwa,1560,1
suwa,1561,1
suwa,1562,1
suwa,1563,1
suwa,1564,1
suwa,1565,1
suwa,1566,1
suwa,1567,1
suwa,1568,1
suwa,1569,1
suwa,1570,1
suwa,1571,1
suwa,1572,1
suwa,1573,1
suwa,1574,1
suwa,1575,1
suwa,1576,1
suwa,1577,1
suwa,1578,1
suwa,1579,1
suwa,1580,1
suwa,1581,1
suwa,1582,1
suwa,1583,1
suwa,1584,1
suwa,1585,1
suwa,1586,1
suwa,1587,1
suwa,1588,1
suwa,1589,1
suwa,1590,1
suwa,1591,1
suwa,1592,1
suwa,1593,1
suwa,1595,1
suwa,1596,1
suwa,1597,1
suwa,1598,1
suwa,1599,1
suwa,1600,1
suwa,1601,1
suwa,1602,1
suwa,1603,1
suwa,1604,1
suwa,1605,1
suwa,1606,1
suwa,1607,1
suwa,1608,1
suwa,1609,1
suwa,1610,1
suwa,1611,1
suwa,1612,1
suwa,1613,1
suwa,1614,1
suwa,1615,1
suwa,1616,1
suwa,1617,1
suwa,1618,1
suwa,1619,1
suwa,1620,1
suwa,1621,1
suwa,1622,1
suwa,1623,1
suwa,1624,1
suwa,1625,1
suwa,1626,1
suwa,1627,1
suwa,1628,1
suwa,1629,1
suwa,1630,1
suwa,1631,1
suwa,1632,1
suwa,1633,1
suwa,1634,1
suwa,1635,1
suwa,1636,1
suwa,1637,1
suwa,1638,1
suwa,1639,1
suwa,1640,1
suwa,1641,1
suwa,1642,1
suwa,1643,1
suwa,1644,1
suwa,1645,1
suwa,1646,1
suwa,1647,1
suwa,1648,1
suwa,1649,1
suwa,1650,1
suwa,1651,1
suwa,1652,1
suwa,1653,1
suwa,1654,1
suwa,1655,1
suwa,1656,1
suwa,1657,1
suwa,1658,1
suwa,1659,1
suwa,1660,1
suwa,1661,1
suwa,1662,1
suwa,1663,1
suwa,1664,1
suwa,1665,1
suwa,1666,1
suwa,1667,1
suwa,1668,1
suwa,1669,1
suwa,1670,1
suwa,1671,0
suwa,1672,1
suwa,1673,1
suwa,1674,1
suwa,1675,1
suwa,1676,1
suwa,1677,1
suwa,1678,1
suwa,1679,1
suwa,1680,1
suwa,1681,1
suwa,1683,1
suwa,1684,1
suwa,1685,1
suwa,1686,1
suwa,1687,1
suwa,1688,1
suwa,1689,1
suwa,1690,1
suwa,1691,1
suwa,1692,1
suwa,1693,1
suwa,1694,1
suwa,1695,1
suwa,1696,1
suwa,1697,1
suwa,1698,1
suwa,1699,1
suwa,1700,1
suwa,1701,1
suwa,1702,0
suwa,1703,1
suwa,1704,1
suwa,1705,1
suwa,1706,1
suwa,1707,1
suwa,1708,1
suwa,1709,1
suwa,1711,1
suwa,1712,1
suwa,1713,1
suwa,1714,1
suwa,1715,1
suwa,1716,1
suwa,1717,1
suwa,1718,1
suwa,1719,1
suwa,1720,1
suwa,1721,1
suwa,1722,1
suwa,1723,1
suwa,1724,0
suwa,1725,1
suwa,1726,1
suwa,1727,1
suwa,1728,1
suwa,1729,1
suwa,1730,1
suwa,1731,1
suwa,1732,1
suwa,1733,1
suwa,1734,0
suwa,1735,1
suwa,1736,1
suwa,1737,0
suwa,1738,1
suwa,1739,1
suwa,1740,1
suwa,1741,1
suwa,1742,1
suwa,1743,1
suwa,1744,1
suwa,1745,1
suwa,1746,1
suwa,1747,1
suwa,1748,1
suwa,1749,1
suwa,1750,1
suwa,1751,1
suwa,1752,1
suwa,1753,1
suwa,1754,1
suwa,1755,1
suwa,1756,1
suwa,1757,1
suwa,1758,1
suwa,1759,0
suwa,1760,1
suwa,1761,1
suwa,1762,1
suwa,1763,1
suwa,1764,1
suwa,1765,1
suwa,1766,1
suwa,1767,1
suwa,1768,1
suwa,1769,1
suwa,1770,0
suwa,1771,1
suwa,1772,1
suwa,1773,1
suwa,1774,1
suwa,1775,1
suwa,1776,1
suwa,1777,1
suwa,1778,1
suwa,1779,1
suwa,1780,1
suwa,1781,1
suwa,1782,1
suwa,1783,1
suwa,1784,1
suwa,1785,1
suwa,1786,1
suwa,1787,1
suwa,1788,1
suwa,1789,1
suwa,1790,1
suwa,1791,1
suwa,1792,1
suwa,1793,0
suwa,1794,1
suwa,1795,1
suwa,1796,1
suwa,1797,1
suwa,1798,1
suwa,1799,0
suwa,1800,1
suwa,1801,1
suwa,1802,0
suwa,1803,1
suwa,1804,0
suwa,1805,1
suwa,1806,1
suwa,1807,1
suwa,1808,1
suwa,1809,1
suwa,1810,1
suwa,1811,1
suwa,1812,1
suwa,1813,1
suwa,1814,1
suwa,1815,1
suwa,1816,1
suwa,1817,1
suwa,1818,1
suwa,1819,1
suwa,1820,1
suwa,1821,1
suwa,1822,1
suwa,1823,1
suwa,1825,1
suwa,1826,1
suwa,1827,1
suwa,1828,1
suwa,1829,1
