time,temperature
1851,-9.452060516666666
1852,-10.064939428571428
1853,-10.442425311111112
1854,-11.41036838888889
1855,-10.712280011111112
1856,-13.596089527472527
1857,-13.530484155555554
1858,-8.305255662222223
1859,-9.429224111111111
1860,-11.140823901098901
1861,-10.475901155555556
1862,-12.210654922222222
1863,-8.237100388888889
1864,-9.248407252747253
1865,-10.253608896666666
1866,-12.452857100000001
1867,-10.996202966666665
1868,-12.809573368131868
1869,-9.467919633333334
1870,-10.224324572222223
1871,-9.7400938
1872,-11.760242494505494
1873,-14.051583233333332
1874,-10.063105922222222
1875,-15.981388477777779
1876,-8.954229135164836
1877,-10.117628607777778
1878,-3.61228958
1879,-11.329608133333332
1880,-10.09901397802198
1881,-13.421848
1882,-6.761748369999999
1883,-13.477913566666668
1884,-13.599047087912087
1885,-15.169625133333334
1886,-11.409721977777776
1887,-14.714535066666667
1888,-13.311252747252746
1889,-9.341297244444444
1890,-8.392779782222222
1891,-8.70146311111111
1892,-8.533730542857143
1893,-13.701497066666667
1894,-11.846245544444445
1895,-10.553549283333334
1896,-9.029296153846154
1897,-9.18305368888889
1898,-9.010388233333334
1899,-13.074274266666666
1900,-10.151918682222222
1901,-10.524028175555555
1902,-9.566883255555556
1903,-10.775832044444444
1904,-14.690234307692307
1905,-12.225550955555557
1906,-8.319448033333334
1907,-10.959186811111111
1908,-7.797671026373626
1909,-9.402800977777778
1910,-10.74130975
1911,-9.772581673333333
1912,-13.216202378021979
1913,-10.810428488888888
1914,-8.66861902888889
1915,-9.290441033333334
1916,-10.656831626373625
1917,-14.082297233333334
1918,-13.710287299999997
1919,-6.5500863111111105
1920,-13.232548747252746
1921,-6.607236758888889
1922,-10.7567412
1923,-11.55203771111111
1924,-9.077398738461538
1925,-11.146428333333334
1926,-9.452164522222223
1927,-10.266058794444444
1928,-10.66102487912088
1929,-12.504393277777778
1930,-10.17423195
1931,-5.5891406733333335
1932,-6.269342754945055
1933,-10.102077792222222
1934,-10.495910488888889
1935,-10.502231295555555
1936,-13.669530362637364
1937,-10.637643477777777
1938,-9.933401826666667
1939,-10.022231711111111
1940,-7.983626787912089
1941,-8.539385642222221
1942,-7.335241111111111
1943,-11.089743566666666
1944,-6.8393790879120875
1945,-10.164768844444444
1946,-10.5926908
1947,-9.497983811111112
1948,-11.197888593406594
1949,-9.194233944444445
1950,-10.897136877777779
1951,-11.099931322222222
1952,-8.935660945054945
1953,-7.683632944444444
1954,-7.615172754444444
1955,-9.351720195555556
1956,-10.234428945054944
1957,-10.658448155555556
1958,-8.577432777777776
1959,-12.95589678888889
1960,-7.396462941758243
1961,-8.878492184444443
1962,-11.29572461111111
1963,-12.663929411111111
1964,-8.725516827472527
1965,-12.249885455555555
1966,-9.855971555555556
1967,-10.76041858888889
1968,-9.706549321978022
1969,-9.390748177777777
1970,-10.6743714
1971,-11.013979188888888
1972,-11.909921153846152
1973,-9.288388933333334
1974,-10.491515216666667
1975,-7.853055577777777
1976,-8.785679916483517
1977,-12.912460377777776
1978,-11.457667255555554
1979,-13.910833166666666
1980,-8.959860769230769
1981,-8.635221533333333
1982,-11.849474888888889
1983,-5.847037148888889
1984,-9.948663593406593
1985,-10.4245598
1986,-10.980424455555557
1987,-5.453022175555555
1988,-9.910174461538462
1989,-10.007824847777776
1990,-9.115650522222221
1991,-9.240027838888889
1992,-6.698088327472528
1993,-8.835275394444444
1994,-12.228211648888887
1995,-7.617698833333333
1996,-11.46080792307692
1997,-9.507996555555556
1998,-3.663435090333333
1999,-7.258977013333333
2000,-7.165260362637363
2001,-10.47343321111111
2002,-4.60914854
2003,-9.520392952222222
2004,-8.482221430769231
2005,-8.423263251111113
2006,-6.603309178888889
2007,-8.070469914444445
2008,-9.98290965934066
2009,-11.574102877777777
2010,-8.746440926666669
2011,-9.642417577777778
2012,-5.257420753846153
2013,-8.130395035555555
2014,-14.370668300000002
2015,-10.415204522222222
2016,-5.837934752747254
2017,-6.334531088888889
2018,-10.30866402222222
2019,-9.482664077777779
