time,temperature
1851,-4.916621788888889
1852,-6.30533473956044
1853,-5.384252842222223
1854,-6.368371173333333
1855,-6.931399498888889
1856,-9.997834750549451
1857,-9.150300555555555
1858,-4.28611892
1859,-5.018466692222223
1860,-6.978422736263735
1861,-6.360639888888889
1862,-7.15788389111111
1863,-3.7357341566666666
1864,-5.852107871428572
1865,-6.718798104444444
1866,-8.05458918888889
1867,-6.950918707777777
1868,-8.33996594065934
1869,-5.461918105555556
1870,-6.0347454222222225
1871,-5.544797092222223
1872,-8.039045012087911
1873,-10.327683422222222
1874,-5.517497464444444
1875,-11.76502838888889
1876,-3.476392393406594
1877,-7.095442418777777
1878,-0.5944961155999999
1879,-7.367810788888889
1880,-3.304851271648352
1881,-9.300923096666667
1882,-2.018755374
1883,-9.264482942222223
1884,-8.287198021978021
1885,-11.161229057777778
1886,-7.4097891
1887,-9.648210729999999
1888,-8.978308518681319
1889,-5.7723923033333335
1890,-2.46504233
1891,-4.347155481111112
1892,-4.636604621978022
1893,-10.070301624444445
1894,-6.80341883
1895,-7.735600308888889
1896,-4.942117731868132
1897,-4.933771856666667
1898,-5.815409286666666
1899,-8.984485666666666
1900,-6.390011088888889
1901,-6.8205104
1902,-6.805515655555556
1903,-6.535513874444445
1904,-10.948362538461538
1905,-9.357364922222223
1906,-4.493091948888889
1907,-5.8670816455555554
1908,-4.802372214285715
1909,-4.879506
1910,-8.1133299
1911,-5.552137271111111
1912,-9.464313164835165
1913,-5.792401451111112
1914,-4.834794382222222
1915,-6.139381398888888
1916,-6.26849336923077
1917,-9.578902966666666
1918,-9.963206527777777
1919,-2.991830877777778
1920,-9.647760934065934
1921,-3.0105168922222223
1922,-6.3007860311111115
1923,-6.863230411111111
1924,-5.583359583076923
1925,-6.757594552222223
1926,-5.858467634444445
1927,-5.7250208
1928,-5.673588687912089
1929,-8.654969051111111
1930,-5.730339344444444
1931,-2.7184890735555554
1932,-1.9450268691208792
1933,-4.604798935555555
1934,-5.467212586666667
1935,-6.5277288844444445
1936,-10.275073087912089
1937,-5.764041426666667
1938,-5.453886746666667
1939,-5.045387641111112
1940,-5.430694778021978
1941,-5.097480777777777
1942,-4.57940232
1943,-7.162264835555555
1944,-3.560421257142857
1945,-7.1784692111111115
1946,-6.140659111111111
1947,-5.391488628888889
1948,-7.109934179120879
1949,-5.080438906666666
1950,-5.230512847777777
1951,-7.668053188888889
1952,-4.998822120879121
1953,-3.81040079
1954,-3.2479590705555554
1955,-5.565691126666667
1956,-6.124307318681319
1957,-5.568085204444444
1958,-5.549503804444445
1959,-9.041686444444444
1960,-3.6678681857142856
1961,-4.956867362222223
1962,-7.642843196666667
1963,-9.360041777777779
1964,-5.4450564824175824
1965,-6.87789248
1966,-5.5808164355555565
1967,-6.109275004444445
1968,-5.661331940659341
1969,-5.825292063333333
1970,-7.250274322222222
1971,-7.050992975555555
1972,-6.437787817582418
1973,-4.871889436666667
1974,-5.854360667777778
1975,-4.4156126633333335
1976,-4.703745402197802
1977,-9.658538684444444
1978,-8.86999138888889
1979,-9.948301024444445
1980,-5.271468335164836
1981,-5.0712722588888886
1982,-7.995830973333333
1983,-2.1351274366666666
1984,-6.428463493406593
1985,-6.542570115555556
1986,-7.457076144444445
1987,-2.707057032222222
1988,-6.009748196703296
1989,-5.1462655488888895
1990,-4.675690968888889
1991,-5.30877871
1992,-2.7860533
1993,-5.195887611111111
1994,-8.062217445555556
1995,-4.185550707777778
1996,-6.800096494505494
1997,-5.605061777777778
1998,-1.3135565633333333
1999,-3.323093524888889
2000,-3.614591535164835
2001,-6.917945781111111
2002,-1.072144296
2003,-5.88934558
2004,-4.871426357142857
2005,-4.097624181111112
2006,-3.430005460577778
2007,-4.522917739555556
2008,-6.529542803296703
2009,-7.5189156
2010,-5.27135487
2011,-6.429273293333332
2012,-1.7897373392307694
2013,-4.071753245555556
2014,-10.015190255555556
2015,-6.838223507777778
2016,-2.226881703296703
2017,-2.7473960895555556
2018,-5.558055526666666
2019,-5.473089946666668
