time,temperature
1851,-8.5473885
1852,-10.289664697802198
1853,-7.4359225111111105
1854,-9.700900322222223
1855,-9.991311393333334
1856,-10.613340142857144
1857,-10.366052195555554
1858,-8.237960866666667
1859,-8.42900261888889
1860,-9.603230945054944
1861,-8.969076977777778
1862,-9.097399744444443
1863,-8.054698237777778
1864,-8.098778302197802
1865,-9.794505855555556
1866,-8.947284922222222
1867,-9.045030925555556
1868,-12.236822972527472
1869,-8.568491611111112
1870,-7.758518205555555
1871,-9.459799480000001
1872,-9.856564
1873,-11.31113381111111
1874,-8.096060444444444
1875,-12.476566255555557
1876,-8.108074071428572
1877,-9.46663822888889
1878,-6.680704351111112
1879,-10.389952955555556
1880,-6.649124484615385
1881,-11.036781988888889
1882,-6.426204797777778
1883,-10.362974697777778
1884,-9.983293871428572
1885,-11.04539809111111
1886,-9.727836222222223
1887,-10.869925055555555
1888,-11.03576620879121
1889,-7.825602963333334
1890,-6.2649442366666666
1891,-9.512957274444446
1892,-6.846282687912088
1893,-11.46080268888889
1894,-9.596004588888889
1895,-9.207358747777777
1896,-8.787603017582416
1897,-8.768154588888889
1898,-8.03920711888889
1899,-9.094038694444444
1900,-7.785186677777778
1901,-10.185486266666665
1902,-8.949411211111112
1903,-8.757140848888888
1904,-12.762834560439561
1905,-12.4968951
1906,-6.839716244444444
1907,-11.401985533333333
1908,-9.04987551868132
1909,-8.123516426666667
1910,-8.733323432222221
1911,-10.305041322222221
1912,-9.78864818901099
1913,-6.58380131111111
1914,-9.884653022222222
1915,-7.568052162222222
1916,-8.345968054945054
1917,-10.522661188888888
1918,-13.14914928888889
1919,-6.625093425555555
1920,-12.01900346153846
1921,-7.0649861666666665
1922,-9.162722626666667
1923,-11.020246222222223
1924,-8.029692202197802
1925,-8.811952777777778
1926,-8.985855602222223
1927,-8.909691626666666
1928,-7.908318879120879
1929,-7.906140902222223
1930,-8.21811614111111
1931,-8.28864140888889
1932,-5.21706690989011
1933,-4.772860717777777
1934,-12.269894344444445
1935,-10.869644577777777
1936,-10.987871967032968
1937,-5.296593632222222
1938,-8.572339095555556
1939,-8.268456656666666
1940,-10.053540901098902
1941,-8.973329802222223
1942,-8.674742833333333
1943,-10.199170544444444
1944,-8.999883505494505
1945,-10.604156788888888
1946,-9.858121588888888
1947,-8.354767222222224
1948,-10.996800148351646
1949,-5.551738255555556
1950,-6.662599223333334
1951,-7.248536558888889
1952,-6.879514684615385
1953,-5.54172673111111
1954,-6.625493357777778
1955,-8.867986711111111
1956,-8.581521236263736
1957,-8.132955394444444
1958,-7.936263744444444
1959,-11.527695488888888
1960,-7.120002091208791
1961,-9.789003758888889
1962,-9.174259399999999
1963,-10.288454275555555
1964,-9.188527808791209
1965,-8.87366520111111
1966,-7.7259616611111115
1967,-8.118447304444445
1968,-10.048030186813188
1969,-8.40463536
1970,-10.984129988888888
1971,-10.3090522
1972,-8.444870575824174
1973,-8.180880463333333
1974,-8.311911094444445
1975,-6.349204863333334
1976,-9.23287232967033
1977,-10.63572871111111
1978,-10.64816428
1979,-10.191970252222221
1980,-7.781902403296703
1981,-9.37556116
1982,-9.655192744444445
1983,-5.797240962222222
1984,-7.614810365934066
1985,-7.888147113333334
1986,-9.185586577777777
1987,-8.3261694
1988,-7.218086763736263
1989,-7.951840822222223
1990,-8.495054238888889
1991,-6.38776628
1992,-8.21620665934066
1993,-9.02514858888889
1994,-11.681960214444445
1995,-6.598988235555556
1996,-9.275038659340659
1997,-6.117532857777778
1998,-5.372861281111112
1999,-5.944050171111111
2000,-7.190427775824176
2001,-8.702616218888888
2002,-3.7922621599999995
2003,-10.216358422222221
2004,-9.69422350879121
2005,-8.476617921111112
2006,-6.126234924444445
2007,-7.109901706666666
2008,-6.913428024175824
2009,-8.788147904444445
2010,-6.5413258433333334
2011,-8.474160477777778
2012,-4.9257433263736266
2013,-6.435257843333333
2014,-9.316531999999999
2015,-10.717797162222222
2016,-4.1121123043956045
2017,-4.565926946666667
2018,-7.487106715555555
2019,-8.120136355555557
