time,temperature
1851,-3.137491073555556
1852,-4.692359713186813
1853,-3.6799738499999997
1854,-4.411106733333334
1855,-5.258264785555556
1856,-8.528875736263737
1857,-7.5308657566666675
1858,-2.7257468649999996
1859,-3.290853793333333
1860,-5.372982872527472
1861,-4.846553941111111
1862,-5.311762125555556
1863,-1.864418507111111
1864,-4.313516259340659
1865,-5.197264446666667
1866,-6.24045646
1867,-5.283287367777778
1868,-6.472180336263737
1869,-3.70281082
1870,-4.239069252222222
1871,-3.8388596888888884
1872,-6.297702403296704
1873,-8.493169304444445
1874,-3.6310632077777782
1875,-9.70607125111111
1876,-1.40549447967033
1877,-5.5227304833333335
1878,0.9142677399999999
1879,-6.024041681111111
1880,-1.1077678714285715
1881,-7.638546597777778
1882,-0.3444042555555555
1883,-7.6696594055555565
1884,-6.230541987912088
1885,-9.445284655555556
1886,-5.8397971955555565
1887,-7.650371306666667
1888,-7.372408643956044
1889,-4.1352484233333335
1890,-0.2712416666666665
1891,-2.637567251111111
1892,-2.980320970879121
1893,-8.676977366666668
1894,-4.929367806666667
1895,-6.622403955555554
1896,-3.3391870109890105
1897,-3.465366924444444
1898,-4.3315484
1899,-7.048960041111111
1900,-4.796079067777778
1901,-5.344103446666667
1902,-5.730653235555556
1903,-4.981648144444445
1904,-9.066168065934065
1905,-7.930752817777779
1906,-2.907751102222223
1907,-3.915565102222222
1908,-3.285616979120879
1909,-2.9404955733333336
1910,-6.8165059900000005
1911,-3.889274701111111
1912,-7.7379020450549465
1913,-3.8519322488888887
1914,-3.3219653822222215
1915,-4.724785237
1916,-4.565167898901098
1917,-7.378301653333333
1918,-8.384403671111112
1919,-1.5179450613333334
1920,-7.867381076923076
1921,-1.3832532836666667
1922,-4.0145268566666665
1923,-4.746694536666666
1924,-3.805168267032967
1925,-5.04768013
1926,-4.130252744444444
1927,-3.766534533233333
1928,-3.699671747252747
1929,-6.90776987111111
1930,-3.9357316888888887
1931,-1.4060810982222223
1932,-0.07004371626373634
1933,-2.740471118888889
1934,-3.5496174399999996
1935,-4.658117551111111
1936,-8.914239974725275
1937,-3.8263297822222224
1938,-3.502807523111111
1939,-3.080761238888889
1940,-4.382719204395605
1941,-3.470704568888889
1942,-3.22716758
1943,-5.41501202
1944,-2.276533657142857
1945,-5.676975834444445
1946,-4.32195349
1947,-3.823202946666667
1948,-5.163663005494506
1949,-3.357313702222222
1950,-3.059657243333333
1951,-6.054493348888888
1952,-3.2228566402197805
1953,-2.025265222222222
1954,-1.4997156766666668
1955,-3.8990792444444446
1956,-4.261003325274725
1957,-3.6165749099999998
1958,-4.276458634444444
1959,-7.156084157777777
1960,-2.4069278538461543
1961,-3.408883221777778
1962,-6.039958479999999
1963,-7.956222883333333
1964,-4.291925871428572
1965,-4.912923266666667
1966,-3.8974907411111106
1967,-4.293968488888889
1968,-4.028514469230769
1969,-4.2684525466666665
1970,-5.763869464444444
1971,-5.170794323333333
1972,-4.322439906593407
1973,-3.1596287455555556
1974,-4.151284964444444
1975,-2.865556467777778
1976,-2.744721275824176
1977,-8.176957622222222
1978,-7.876564966666666
1979,-8.573477466666667
1980,-3.8737956502197806
1981,-3.4563567444444443
1982,-6.6822802633333325
1983,-0.5789453056666667
1984,-5.040985302197802
1985,-5.082228945111111
1986,-5.810136392222223
1987,-1.304022648888889
1988,-4.475589617362638
1989,-3.3648084199999997
1990,-2.8753719540000002
1991,-3.5898062188888886
1992,-1.0292296714285714
1993,-3.488452177777778
1994,-6.244222301111112
1995,-2.7845335442222225
1996,-4.767076498901099
1997,-4.130211737777778
1998,0.14946924844444442
1999,-1.62142836
2000,-1.8800239615384613
2001,-5.586672316666666
2002,0.33636547111111115
2003,-4.315043192222222
2004,-3.2355422651648347
2005,-2.2766505057222224
2006,-1.8801036944444447
2007,-3.3076526186666664
2008,-4.868414245054945
2009,-5.6982521577777785
2010,-4.163426452222222
2011,-5.083799084444444
2012,-0.3161588095604396
2013,-2.2840930966666666
2014,-8.272757066666667
2015,-5.221820189333333
2016,-0.6421777567032969
2017,-0.958276858888889
2018,-3.8033985488888886
2019,-3.727951784222222
