time,temperature
1851,-6.20748826
1852,-8.165709059340658
1853,-5.032307644444445
1854,-7.264814594444444
1855,-7.560258624444446
1856,-8.406184000000001
1857,-8.059768783333332
1858,-5.876151464444444
1859,-6.201570271111111
1860,-7.214746734065934
1861,-6.638811316666667
1862,-6.797764203333333
1863,-5.696214364444445
1864,-5.9402541164835165
1865,-7.519872724444444
1866,-6.570206885555556
1867,-6.827465869999999
1868,-9.835475923076924
1869,-6.227062505555556
1870,-5.285988494444444
1871,-6.901327777777778
1872,-7.55852704945055
1873,-9.097857122222223
1874,-5.729581236666667
1875,-9.884358233333334
1876,-5.60638374945055
1877,-7.4132975822222225
1878,-4.821028977777777
1879,-7.914720568888888
1880,-4.011887420879121
1881,-8.784188173333334
1882,-4.440636348888888
1883,-7.833218652222222
1884,-7.092034784615384
1885,-8.542608011111112
1886,-7.160131588888889
1887,-8.084136262222222
1888,-8.53821248131868
1889,-5.5008469911111115
1890,-3.4618240277777774
1891,-6.920693833333333
1892,-4.579083477032968
1893,-8.944432772222221
1894,-6.965623482222222
1895,-7.371377584444444
1896,-6.367122435164835
1897,-6.493795306666666
1898,-5.696209987777777
1899,-6.953280000000001
1900,-5.4980476
1901,-7.845001195555555
1902,-6.812193771111112
1903,-6.454135208888888
1904,-10.205218010989011
1905,-9.885988822222222
1906,-4.543798227777778
1907,-8.893972244444445
1908,-6.512993039560439
1909,-5.4992530111111115
1910,-6.681655636666667
1911,-7.628297355555555
1912,-7.461703923076924
1913,-4.005989137777777
1914,-7.524334262222222
1915,-5.322804001111111
1916,-6.1595334450549455
1917,-7.617621088888889
1918,-10.778255577777777
1919,-4.378789033333334
1920,-9.558590076923076
1921,-4.831684084444444
1922,-7.056258725555555
1923,-8.658142775555557
1924,-5.632676458241758
1925,-6.278599933333334
1926,-6.62240609
1927,-6.558748957777778
1928,-5.349929616483516
1929,-5.5548121055555555
1930,-5.620217108888889
1931,-6.0861681
1932,-3.027457247252747
1933,-2.794386691111111
1934,-9.469042705555555
1935,-8.101325705555556
1936,-8.618296587912088
1937,-3.0836576044444444
1938,-6.094076198888889
1939,-5.74937911
1940,-7.748923436263737
1941,-6.5684692899999995
1942,-6.365370017777778
1943,-7.692744675555556
1944,-6.895122453846154
1945,-8.130189446666668
1946,-7.533731067777778
1947,-5.754790665555555
1948,-8.79712379010989
1949,-3.301055184444445
1950,-4.39248001
1951,-4.669267055555555
1952,-4.5969183000000005
1953,-3.3738504600000003
1954,-4.192710702222222
1955,-6.234550177777777
1956,-6.360539692307692
1957,-5.722727662222222
1958,-5.769092044444445
1959,-8.772056777777777
1960,-4.638764912087912
1961,-7.785765884444444
1962,-6.7549859566666655
1963,-7.992409284444444
1964,-7.164115993406593
1965,-6.6527496
1966,-5.524853615555555
1967,-5.71727216
1968,-7.747424602197802
1969,-6.467932765555556
1970,-8.449820317777776
1971,-7.792187244444444
1972,-5.92498967032967
1973,-5.518155836666667
1974,-5.51162682888889
1975,-4.197124265555555
1976,-6.4897950351648355
1977,-8.3822
1978,-8.192602511111112
1979,-7.745516266666667
1980,-5.520467264835165
1981,-7.0013051016666665
1982,-7.484336817777777
1983,-3.7832812566666663
1984,-5.255658078021979
1985,-5.346754581111111
1986,-6.731269853333333
1987,-6.228346662222222
1988,-5.470267347252747
1989,-5.462061714444444
1990,-5.945113446666666
1991,-3.91100842
1992,-5.310927816483517
1993,-6.485809532222222
1994,-8.944208755555556
1995,-4.249228648888889
1996,-6.844922764835165
1997,-3.6779313195555554
1998,-2.9932845711111113
1999,-3.677632843333334
2000,-4.978165834065933
2001,-6.2302918300000005
2002,-1.7196510999999999
2003,-7.93050461111111
2004,-7.372741623076924
2005,-5.98550187
2006,-3.919757232222222
2007,-4.698256571111111
2008,-4.675847757142857
2009,-6.270695615555556
2010,-4.685212501111111
2011,-6.523444725555556
2012,-2.4910445142857145
2013,-4.077338702222223
2014,-6.814189541111112
2015,-8.212481302222223
2016,-1.8195794087912092
2017,-2.53322853
2018,-5.079899614444445
2019,-5.413257637777777
