time,temperature
1851,-5.8641506322222225
1852,-7.701846120879121
1853,-5.759802828888889
1854,-7.603592337777777
1855,-8.29818137888889
1856,-10.164839835164834
1857,-9.238821492222222
1858,-5.448625742222223
1859,-5.870750331111111
1860,-7.824942776923078
1861,-6.880566837777778
1862,-7.526816648888889
1863,-5.019436107777778
1864,-6.365709105494505
1865,-7.645872786666667
1866,-8.386023744444445
1867,-7.4945380833333335
1868,-9.381038173626372
1869,-6.2399839888888895
1870,-6.914550346666666
1871,-6.818852111111111
1872,-8.830255890109889
1873,-10.5783591
1874,-6.06251768111111
1875,-12.21936368888889
1876,-5.074678997802197
1877,-7.690311385555555
1878,-2.432134178888889
1879,-8.375203333333333
1880,-4.782325483516484
1881,-10.049639599999999
1882,-3.5974081966666667
1883,-9.39242808888889
1884,-9.183025476923076
1885,-11.37456005
1886,-8.066856699999999
1887,-10.123791999999998
1888,-8.97846546043956
1889,-6.4504639755555555
1890,-3.551379315555556
1891,-5.648296471111111
1892,-5.611257871428572
1893,-9.913494244444443
1894,-7.152415366666666
1895,-8.001613732222221
1896,-6.011139098901099
1897,-6.020028968888889
1898,-6.36447699
1899,-9.328721986666666
1900,-6.969201986666667
1901,-7.6454001611111115
1902,-7.150819405555556
1903,-6.9645486977777775
1904,-11.926406774725276
1905,-9.7340168
1906,-4.966586882222223
1907,-7.592191897777779
1908,-6.473648752747253
1909,-5.827583938888889
1910,-7.788356863333332
1911,-6.405445022222223
1912,-9.936298901098901
1913,-6.535615713333333
1914,-6.414200871111111
1915,-6.60399004
1916,-6.854559806593406
1917,-10.136036731111112
1918,-10.963960233333333
1919,-4.11835658
1920,-10.556129010989011
1921,-4.069250151111111
1922,-6.969921263333333
1923,-8.28194108
1924,-6.601662723076923
1925,-7.863274572222222
1926,-6.846642704444445
1927,-6.939202302222221
1928,-6.513160421978022
1929,-8.441125393333335
1930,-6.7528078222222225
1931,-4.427094904444445
1932,-2.53226911978022
1933,-5.301824194444444
1934,-8.004510611111112
1935,-7.4450002133333335
1936,-9.998312303296704
1937,-5.4780717377777775
1938,-6.914417755555554
1939,-6.2014848222222225
1940,-6.042541134065934
1941,-6.04575326
1942,-5.68003808888889
1943,-7.747065067777777
1944,-4.834741994505494
1945,-7.949917572222223
1946,-7.143830541111112
1947,-6.375491102222222
1948,-8.136780556043956
1949,-4.894944161111111
1950,-5.744262435555555
1951,-7.07280993
1952,-5.630659993406593
1953,-4.283720621111111
1954,-4.547922444444445
1955,-6.51974622
1956,-6.771030124175823
1957,-6.422470695555555
1958,-6.4682605355555545
1959,-9.8961766
1960,-4.987433321978022
1961,-6.829973518888889
1962,-8.205469917777776
1963,-10.109768166666665
1964,-6.185296946153846
1965,-7.432626281111111
1966,-6.0015179355555555
1967,-6.986930722222223
1968,-7.1390671758241755
1969,-6.46500667
1970,-8.066331468888889
1971,-7.567328257777778
1972,-6.872031576923076
1973,-6.111840466666666
1974,-7.022464646666667
1975,-4.959050893333333
1976,-6.161187245054945
1977,-10.149617055555556
1978,-8.79793866
1979,-9.830010748888888
1980,-6.120192341758242
1981,-7.034059762222223
1982,-8.1798857
1983,-3.273797563111111
1984,-7.196613385714286
1985,-6.800749784444443
1986,-7.598737137777778
1987,-4.151105962222222
1988,-6.3518529450549455
1989,-6.05099415
1990,-6.035385658888889
1991,-5.565512464444445
1992,-4.4889678274725275
1993,-6.118710427777778
1994,-9.332657122222223
1995,-4.910669571111111
1996,-7.98020245934066
1997,-6.02435452
1998,-2.448446781111111
1999,-4.506480455555556
2000,-4.841170346153846
2001,-6.549927266666667
2002,-2.2973669859999997
2003,-7.3153724222222225
2004,-6.190477243956044
2005,-5.781839346666667
2006,-4.254360988888889
2007,-5.17077732
2008,-6.184407230769231
2009,-7.9405985066666664
2010,-5.540462516666667
2011,-6.828345774444444
2012,-2.84557423956044
2013,-4.645159641111111
2014,-10.171074811111112
2015,-8.765512233333334
2016,-3.0524972626373623
2017,-3.560375066666667
2018,-6.435240103333333
2019,-6.456241892222222
