time,temperature
1851,-6.590519674444444
1852,-7.857299758241758
1853,-6.746464028888889
1854,-8.3342261
1855,-8.53402961111111
1856,-10.686188147252748
1857,-10.14320843888889
1858,-5.790811033333334
1859,-6.571184125555556
1860,-8.424294538461538
1861,-7.58556626
1862,-8.738669055555555
1863,-5.596984645555556
1864,-6.885738171428572
1865,-7.931685358888889
1866,-9.34084408
1867,-8.189626585555555
1868,-10.029685680219782
1869,-6.85648289888889
1870,-7.560973653333333
1871,-7.256689047777778
1872,-9.337289461538463
1873,-11.330999066666667
1874,-6.956176455555555
1875,-13.25172888777778
1876,-5.981707304395605
1877,-7.995941642222222
1878,-2.0920371866666665
1879,-8.678449808888889
1880,-6.123373406593407
1881,-10.7331225
1882,-3.991453788888889
1883,-10.2463953
1884,-10.405929174725275
1885,-12.231163442222222
1886,-8.600013251111111
1887,-11.389693555555557
1888,-10.118133157142857
1889,-6.964564734444444
1890,-4.917996306666667
1891,-6.182187688888888
1892,-6.223951251648352
1893,-10.833367497777779
1894,-8.330652628888888
1895,-8.11013551111111
1896,-6.3948228956043955
1897,-6.386751901111111
1898,-6.838815821111112
1899,-10.409577862222221
1900,-7.719302821111111
1901,-7.966480144444445
1902,-7.221050330000001
1903,-7.585509033333334
1904,-12.281644813186814
1905,-9.97941959111111
1906,-5.76951868111111
1907,-8.162404113333332
1908,-6.152581016483516
1909,-6.6185422577777775
1910,-8.278524257777779
1911,-6.94775836111111
1912,-10.65280746153846
1913,-7.820096768888889
1914,-6.263192936666667
1915,-6.930852957777777
1916,-7.692730014285715
1917,-11.151774111111111
1918,-11.328323355555558
1919,-4.143733568888889
1920,-11.097427703296704
1921,-4.359617661111112
1922,-7.973435377777777
1923,-9.112368311111112
1924,-6.91734078131868
1925,-8.462531425555555
1926,-7.0726768022222215
1927,-7.590820817777778
1928,-7.547729010989011
1929,-9.518912413333334
1930,-7.533344883333333
1931,-4.078594745555556
1932,-3.386082617032967
1933,-6.720627707777778
1934,-8.194708502222223
1935,-7.830890088888888
1936,-10.53457004065934
1937,-6.916278533333332
1938,-7.429601973333333
1939,-7.082035194444444
1940,-5.955185831868132
1941,-6.112923727777778
1942,-5.6394705
1943,-8.263693744444446
1944,-4.746221567032967
1945,-8.244912028888889
1946,-7.672076027777777
1947,-6.774349402222223
1948,-8.670943381318681
1949,-6.054410420000001
1950,-7.393799043333334
1951,-8.149254716666666
1952,-6.3181471956043955
1953,-4.960433384444444
1954,-4.971968603333333
1955,-6.832242642222223
1956,-7.215862186813187
1957,-7.622832773333333
1958,-6.530525627777777
1959,-10.490811294444445
1960,-5.101659813186814
1961,-6.868594403333334
1962,-8.898546677777777
1963,-10.616012606666665
1964,-6.397488773626375
1965,-8.606492276666666
1966,-6.498616528888888
1967,-7.577717486666668
1968,-7.519281032967033
1969,-6.5086742
1970,-8.324340804444445
1971,-8.292588033333333
1972,-8.400721516483516
1973,-6.652600602222222
1974,-7.9079428555555555
1975,-5.45067434
1976,-6.508807063736263
1977,-10.57650323888889
1978,-8.737100882222222
1979,-10.787534697777778
1980,-6.470086112087912
1981,-6.989320122222222
1982,-8.953818371111112
1983,-3.6722557644444445
1984,-7.633364503296702
1985,-7.76011564888889
1986,-8.556006262222223
1987,-4.0233295133333336
1988,-7.11791506923077
1989,-7.007480088888888
1990,-6.667526583333332
1991,-6.56780512888889
1992,-4.834884468131868
1993,-6.593954143333333
1994,-9.72567306
1995,-5.122220457777777
1996,-8.705790340659341
1997,-6.613824788888889
1998,-2.4265605863333333
1999,-5.112566454444445
2000,-5.33616376043956
2001,-7.480564194444445
2002,-2.533546345777778
2003,-7.564209864444444
2004,-6.350628262637362
2005,-5.989946408888889
2006,-4.755105046666667
2007,-5.687278673333334
2008,-7.1430419
2009,-8.738121795555555
2010,-5.86552653
2011,-7.065324133333333
2012,-3.302555801098901
2013,-5.3824565855555555
2014,-11.444278066666667
2015,-8.88673818888889
2016,-3.4444445879120877
2017,-4.269995245555554
2018,-7.4034623477777775
2019,-7.110945855555555
