time,temperature
1851,-2.388854824111111
1852,-4.659606153846154
1853,-2.5862569355555554
1854,-3.9571651111111112
1855,-5.18850586
1856,-7.704021510989012
1857,-6.115244686666667
1858,-2.4770292958444444
1859,-2.468085811111111
1860,-4.7579045824175825
1861,-3.776871098888889
1862,-3.954280489777778
1863,-1.6232891188888887
1864,-3.4009311890109895
1865,-4.783307297777778
1866,-5.080705405555555
1867,-4.568545046666666
1868,-6.0017032846153855
1869,-3.0044395944444444
1870,-3.5942527011111114
1871,-3.603215078888889
1872,-5.849217815384616
1873,-7.546914186666667
1874,-2.5357638522222223
1875,-8.525809383333334
1876,-0.9908440552747253
1877,-4.799842170444444
1878,0.15063524000000006
1879,-5.613693185555556
1880,-0.4779972769230768
1881,-6.802107624444444
1882,-0.21168993111111112
1883,-6.249972882222222
1884,-5.359230642857143
1885,-8.330709172222221
1886,-4.899047148888888
1887,-6.257479755555556
1888,-5.7592794868131865
1889,-3.4656840455555553
1890,0.7202267882222222
1891,-2.223118871111111
1892,-2.4773654538461534
1893,-6.885739277777777
1894,-3.5186191744444444
1895,-5.672376066666667
1896,-3.183470443956044
1897,-3.251708228888889
1898,-3.3039808733333333
1899,-5.749485964444444
1900,-3.890962617777778
1901,-5.016681226666666
1902,-5.17061277888889
1903,-4.314818027777777
1904,-8.543646492307694
1905,-7.110250324444445
1906,-1.9650124197777779
1907,-4.082985397777778
1908,-3.5894997945054943
1909,-2.1792951255555555
1910,-5.166571488888889
1911,-3.2811973822222225
1912,-6.795106860549451
1913,-2.962923841333333
1914,-3.5505623933333337
1915,-3.839232945
1916,-3.7122293626373626
1917,-6.297870588888889
1918,-7.860003971111111
1919,-0.9990359093333333
1920,-7.436710815384616
1921,-1.0359238033333333
1922,-3.3543275300000004
1923,-4.422027693333334
1924,-3.3510164142857146
1925,-4.594625223333333
1926,-3.9186120511111113
1927,-3.388234799777778
1928,-3.098267851648352
1929,-5.30190722
1930,-3.2337659896666664
1931,-1.537464007777778
1932,0.7734358643956043
1933,-1.8821923255555557
1934,-4.0494855322222225
1935,-4.192694484444445
1936,-7.285640164835165
1937,-2.2017595962222223
1938,-3.194200943777778
1939,-2.6391901644444444
1940,-3.8540689642857147
1941,-3.0297996222222223
1942,-3.0563120166666664
1943,-4.5949043255555555
1944,-2.27649680989011
1945,-5.20841986
1946,-3.7970371044444446
1947,-3.320988561111111
1948,-5.031046086813188
1949,-1.7504701644444443
1950,-1.9009666988888887
1951,-4.249238833333333
1952,-2.4997047956043956
1953,-1.1808210044444443
1954,-1.2429502544444444
1955,-3.4042376888888892
1956,-3.883872295604396
1957,-2.9759719920888887
1958,-3.7311936915555557
1959,-6.2985824699999995
1960,-2.050196546703297
1961,-3.7210641433333334
1962,-5.133113426666666
1963,-7.312062006666666
1964,-3.628603874725275
1965,-3.870573752222222
1966,-3.1342551511111107
1967,-3.704869988888889
1968,-3.827735758681319
1969,-3.6632554777777777
1970,-5.085544067777779
1971,-4.276164922222223
1972,-3.309891653076923
1973,-2.7632754277777782
1974,-3.682232848888889
1975,-2.1244955677777777
1976,-2.7807551392307692
1977,-7.468705744444446
1978,-6.8662242411111105
1979,-6.9314443400000005
1980,-3.3943244552747256
1981,-3.9417514888888894
1982,-5.615951833333333
1983,-0.13234806911111108
1984,-4.565965264835165
1985,-3.7869722411111106
1986,-4.66470799
1987,-1.5719022327777776
1988,-3.5420806123076924
1989,-2.6513845773333333
1990,-2.529412582222222
1991,-2.160081597777778
1992,-1.125316502967033
1993,-2.870095757777778
1994,-5.733337903333334
1995,-2.1587915277777774
1996,-4.241480448351648
1997,-2.8825906711111116
1998,0.38208731888888886
1999,-1.2274053928888888
2000,-1.571162173076923
2001,-4.174420633333334
2002,0.6798439137777779
2003,-4.559113593333333
2004,-3.3170112893406594
2005,-2.609234906666667
2006,-1.3227289422222221
2007,-2.5568527266666665
2008,-3.3702130725274726
2009,-4.659668
2010,-3.2274920266666665
2011,-4.40842749
2012,-0.006062332252747216
2013,-1.5242326955555556
2014,-6.820719448888889
2015,-5.26185412
2016,-0.038976150549450805
2017,-0.2664166188888889
2018,-2.9255655022222222
2019,-2.7003767084444443
