time,temperature
1851,-2.713810998888889
1852,-2.753007781318681
1853,-1.71922645
1854,-4.969567444444445
1855,-4.192523808888889
1856,-3.9589990446153847
1857,-5.1502639
1858,-6.7190452222222214
1859,-2.6202115066666667
1860,-4.744832731868132
1861,-3.5089583974444443
1862,-4.5066962777777775
1863,-1.5467273910000001
1864,-5.086489143956044
1865,-5.318331344444444
1866,-1.427599277777778
1867,-1.839218936
1868,-3.3355141984615386
1869,-0.9979061477777778
1870,-4.46744994
1871,-5.535576486666667
1872,-4.665156496703297
1873,-1.2968901886666668
1874,-3.270195224444444
1875,-4.9946280877777784
1876,-5.506927502197802
1877,-0.5503371975555555
1878,-3.3704399555555558
1879,-3.5413957244444445
1880,-6.648213056043955
1881,-3.6536447217777774
1882,-2.085129853333333
1883,-2.3949645933333334
1884,-2.345393093406593
1885,-3.120507456666667
1886,-4.171817043333333
1887,-4.200749924444445
1888,-5.0467043956043955
1889,-4.194361135555555
1890,-4.295179785555556
1891,-7.195177671111111
1892,-2.813984931868132
1893,-5.638320434444445
1894,-3.5443072944444447
1895,-6.110443104444444
1896,-4.442998575824175
1897,-2.521429836111111
1898,-2.4563390977777777
1899,-1.0807684755555556
1900,-2.5342722555555555
1901,-5.42779541
1902,-1.0967519673333335
1903,-3.394893958
1904,-2.6985684413186815
1905,-3.6318022299999995
1906,-2.7442274566666667
1907,-4.491842757777778
1908,-2.755516510989011
1909,-5.311618269999999
1910,-1.3010206762222223
1911,-2.4939555666666666
1912,-1.8462706186813187
1913,-3.2058607500000003
1914,-4.312043593333334
1915,-1.9864950344444445
1916,-0.3545540027472527
1917,-3.7019973526666665
1918,-3.233330152222222
1919,-1.6614471344444444
1920,-0.9607310494175825
1921,-1.014178248111111
1922,-4.188314844444444
1923,-1.8428343777777778
1924,-4.449827714285714
1925,-1.443940316
1926,-2.2070406944444443
1927,-2.213792371111111
1928,-2.978532654945055
1929,-7.812430077777778
1930,-2.136105839333333
1931,-2.872721086666666
1932,-4.474865246153846
1933,-3.7297536077777775
1934,-4.275837405555556
1935,-2.0312080322222226
1936,-1.3845280987832966
1937,-2.8538331822222225
1938,-3.0012288500000004
1939,-2.3412363755555554
1940,-7.593474665934066
1941,-5.408208468888889
1942,-6.812324987777778
1943,-2.5782627285555555
1944,-2.054815867032967
1945,-4.112204104444444
1946,-2.6458443222222217
1947,-6.858528193333333
1948,-1.4505221420879122
1949,-2.263677007777778
1950,-2.4735490052222224
1951,-1.3049880911111114
1952,-2.748875524175824
1953,-3.221240948888889
1954,-5.863542065555556
1955,-2.2345986095555554
1956,-4.616071014615385
1957,-2.00937255
1958,-2.0357784744444443
1959,-2.353510916666667
1960,-2.4121840036263738
1961,-1.9030938426666666
1962,-3.36353201
1963,-7.676273762222222
1964,-5.888579901098901
1965,-3.7289840566666665
1966,-1.5015009155555559
1967,-2.2560190522222223
1968,-2.935163625274725
1969,-4.575062545555555
1970,-4.2918341188888895
1971,-2.754426138888889
1972,-2.0629663387912087
1973,-2.8215198022222223
1974,-0.8496827944444444
1975,-0.31758210444444446
1976,-2.1653348835164836
1977,-1.7470983522222223
1978,-3.1835926388888893
1979,-3.753188723333333
1980,-1.9302991223076922
1981,-3.733475682222222
1982,-4.454186833333333
1983,-1.5108528047777778
1984,-2.9115621516483516
1985,-5.4245107755555555
1986,-3.591870951111111
1987,-4.47876005
1988,-0.5662433767032966
1989,-0.753206638888889
1990,-0.4651838399999998
1991,-3.7709805255555553
1992,-1.825222713186813
1993,-2.449993128888889
1994,-0.8501739055555555
1995,-1.0824475500000001
1996,-4.452409986813187
1997,-2.847885396
1998,0.17508291611111115
1999,-2.9159649255555555
2000,-2.178220667032967
2001,-0.8293986815555554
2002,-1.948190256666667
2003,-3.7781245466666666
2004,-2.4604710235164835
2005,-3.1368026833333333
2006,-4.172716817777778
2007,1.1632375824444445
2008,-0.7477088063736261
2009,-2.6288722244444442
2010,-3.3348296
2011,-2.958156145555556
2012,-2.7094359304395605
2013,-2.455416841111111
2014,0.3322037485555555
2015,-0.7314030644444445
2016,0.24105206813186827
2017,-2.50256025
2018,-1.7506829023333332
2019,-0.8277887122222222
