time,temperature
1851,-6.063622313333333
1852,-6.075143117582418
1853,-8.390448288888889
1854,-8.018355427777777
1855,-10.630419173333333
1856,-9.30847624175824
1857,-8.194955588888888
1858,-5.247337418888889
1859,-5.418227558888889
1860,-9.365547554945055
1861,-9.426352884444444
1862,-8.074710688888889
1863,-4.972794216666667
1864,-7.541449736263736
1865,-8.648542366666668
1866,-5.064207274444445
1867,-9.399664364444444
1868,-8.438297912087911
1869,-5.957455262222222
1870,-9.241735815555556
1871,-12.0689888
1872,-6.057565848351648
1873,-6.24873917
1874,-3.584822328888889
1875,-11.895226977777778
1876,-7.992600114285715
1877,-11.104061655555556
1878,-5.999306311111111
1879,-10.9746111
1880,-6.312083135164835
1881,-11.612313166666667
1882,-3.4156933711111113
1883,-7.977413199999999
1884,-5.854055893406594
1885,-7.597032827777777
1886,-7.051678361111111
1887,-6.277359606666667
1888,-9.04351379120879
1889,-6.609926937777777
1890,-5.1615453944444445
1891,-7.1611916255555546
1892,-8.941645201098902
1893,-11.340497855555556
1894,-5.222377385555555
1895,-9.593956711111112
1896,-6.291019829670329
1897,-8.340939768888887
1898,-4.259417107777778
1899,-7.11539467111111
1900,-9.89517078111111
1901,-8.856275788888889
1902,-7.451335544444445
1903,-7.215344535555555
1904,-7.348055796703298
1905,-6.452121195555556
1906,-5.387473135555556
1907,-7.06936488
1908,-6.368356765934066
1909,-6.570146930000001
1910,-6.7840419
1911,-5.686168299999999
1912,-7.447198893406593
1913,-5.630438077777778
1914,-5.942601391111111
1915,-6.081511397777778
1916,-8.244026981318681
1917,-9.680570505555556
1918,-8.227308366666666
1919,-7.663226055555555
1920,-6.837383841758241
1921,-6.225109888888889
1922,-8.026315106666667
1923,-5.984356704444444
1924,-8.480337813186814
1925,-2.8852713255555553
1926,-9.122741366666666
1927,-6.084245486666667
1928,-8.734559289010988
1929,-9.921922973333334
1930,-3.6057954755555555
1931,-6.996341782222222
1932,-3.628247908791209
1933,-4.823406173333333
1934,-4.172962384444444
1935,-4.657535598888889
1936,-7.124267702197802
1937,-5.882094643333333
1938,-6.127122838888889
1939,-5.182863220000001
1940,-11.27914867032967
1941,-11.365032288888889
1942,-11.684150444444445
1943,-5.417518028888889
1944,-5.79270195054945
1945,-6.081670997777778
1946,-7.127288844444444
1947,-9.482848472222223
1948,-8.780333192307692
1949,-2.82377872
1950,-6.7722934822222225
1951,-7.989899611111111
1952,-5.4190875670329675
1953,-7.729908836666667
1954,-7.829423411111112
1955,-7.1362260766666665
1956,-9.926178648351648
1957,-5.214443344444445
1958,-8.551093224444445
1959,-8.022376300000001
1960,-7.817297472527472
1961,-6.546125661111111
1962,-6.503933885555556
1963,-11.504302233333334
1964,-6.492710098901099
1965,-6.308467038888889
1966,-13.087423644444446
1967,-7.8036615455555545
1968,-9.002418663736265
1969,-9.221181906666665
1970,-11.838474777777776
1971,-4.682302557777778
1972,-6.764786110989011
1973,-2.8072458455555553
1974,-4.260919207777778
1975,-4.426559223333333
1976,-5.573094065934066
1977,-9.479467961111112
1978,-7.517665052222222
1979,-11.968318522222223
1980,-10.161579230769231
1981,-6.750038865555555
1982,-10.581413866666667
1983,-5.648217461111111
1984,-7.094159175824176
1985,-9.53466023888889
1986,-11.468418266666665
1987,-9.881603462222222
1988,-4.613720541758241
1989,-2.2743913365555555
1990,-3.151881942666667
1991,-6.251073196666666
1992,-2.9573678637362635
1993,-3.8417371300000003
1994,-9.608732644444444
1995,-4.849778134444445
1996,-9.905771681318683
1997,-6.640442127777778
1998,-3.882998532222222
1999,-5.575537093333334
2000,-4.844704753846154
2001,-6.700824233333333
2002,-5.809272817777778
2003,-7.91247065
2004,-5.727616089010989
2005,-3.5070076777777777
2006,-5.8442381744444445
2007,-4.112347024666667
2008,-3.5573904153846154
2009,-6.937771941111111
2010,-11.063121688888888
2011,-10.035620166666668
2012,-5.592557182417583
2013,-9.017198808888889
2014,-3.3096343388888894
2015,-4.1162051222222225
2016,-5.568211608791209
2017,-3.9190294011111115
2018,-6.78974865
2019,-5.010946058888889
