time,temperature
1851,-3.594802184444444
1852,-3.9928288142857147
1853,-3.255989106666667
1854,-6.050028216666666
1855,-5.359657888888889
1856,-4.128581242857143
1857,-5.245816231111111
1858,-6.409246848888889
1859,-3.986325808888889
1860,-5.456373125274725
1861,-4.765275688888889
1862,-4.4697540955555555
1863,-3.2474700766666666
1864,-5.610539236263736
1865,-5.247990317777778
1866,-2.4035688260000003
1867,-2.2618903397777776
1868,-4.862393157142857
1869,-1.6198937520444445
1870,-5.262499101111111
1871,-6.102498607777777
1872,-4.918986138461538
1873,-2.6685129455555554
1874,-4.368081507777778
1875,-5.180281892222222
1876,-4.8859284109890115
1877,-1.4709963488888889
1878,-4.000636636666666
1879,-4.699235477777778
1880,-6.539101674725275
1881,-3.5449958555555554
1882,-3.680701311111111
1883,-2.6534553822222224
1884,-2.8673798725274726
1885,-3.9469669699999996
1886,-5.220067438888889
1887,-5.746816573333334
1888,-5.932374658241758
1889,-5.112025182222222
1890,-4.814425953333333
1891,-7.360373344444444
1892,-3.7396657912087914
1893,-5.889908430000001
1894,-4.430607915555555
1895,-7.768135599999999
1896,-4.382463581318682
1897,-3.2595621118888887
1898,-3.246218952222222
1899,-1.9998614244444446
1900,-3.262180451111111
1901,-5.424016935555555
1902,-3.7058449144444445
1903,-3.359235341111111
1904,-4.218970871428572
1905,-4.679040395555556
1906,-4.161813828888889
1907,-5.891067873333334
1908,-3.5999721307692307
1909,-5.589189607777778
1910,-2.85005446
1911,-4.008952694444444
1912,-1.5521420484615385
1913,-3.1407618044444443
1914,-4.228615018888889
1915,-3.677333404444444
1916,-1.5905249478021977
1917,-5.225356844444445
1918,-4.477902854444444
1919,-3.2404334111111113
1920,-1.8026426637362638
1921,-2.505331121555556
1922,-4.032994707777778
1923,-3.2195880399999997
1924,-4.837690452747252
1925,-2.361370408888889
1926,-2.724334215
1927,-3.971641377777778
1928,-2.7286113373626373
1929,-7.330012835555555
1930,-2.737425258888889
1931,-4.355037511111111
1932,-5.092424745054945
1933,-4.191282058888889
1934,-5.264365376666667
1935,-3.264883672222223
1936,-2.88243009010989
1937,-2.226954461777778
1938,-4.189333446666667
1939,-3.4482550866666672
1940,-5.618124058241758
1941,-5.985065033333334
1942,-6.8713697555555555
1943,-3.0103484611111115
1944,-3.91281646043956
1945,-5.122589392222222
1946,-3.4596877344444446
1947,-6.338828028888889
1948,-2.6797127406593404
1949,-3.0765514988888887
1950,-2.518544798888889
1951,-3.6398071777777776
1952,-4.3799525934065935
1953,-5.0899540511111105
1954,-4.498697508888888
1955,-2.6855229922222223
1956,-5.0189727934065935
1957,-2.9265888641111113
1958,-2.946989547222222
1959,-2.8604432255555556
1960,-3.0352440263736264
1961,-2.446566324111111
1962,-3.0120668677777775
1963,-7.750668997777777
1964,-4.531412542857143
1965,-4.64452064
1966,-2.4302586877777776
1967,-3.2330686444444448
1968,-4.141964556043956
1969,-4.70940136
1970,-4.873399198888889
1971,-4.344889182222222
1972,-2.501233249450549
1973,-4.017106686666667
1974,-2.0902668466666667
1975,-1.2548028122222223
1976,-3.046460589010989
1977,-3.036121228888889
1978,-3.5524208399999995
1979,-3.9155170155555554
1980,-2.611657386813187
1981,-5.082139761111111
1982,-3.417667394444445
1983,-3.132506092222222
1984,-3.8918285989010992
1985,-5.2383770244444445
1986,-4.52408172
1987,-4.455709047777778
1988,-1.6900881428571428
1989,-1.8005550833333333
1990,-1.1578823233333333
1991,-4.439322393333334
1992,-3.3773125021978023
1993,-2.51407518
1994,-2.0006262077777777
1995,-1.7772567455555555
1996,-3.5816039032967035
1997,-2.6852675144444444
1998,-1.6413802314444443
1999,-3.4149288277777776
2000,-2.7031640610989007
2001,-1.5780282122222224
2002,-2.752131751111111
2003,-3.565843966666667
2004,-2.8418521329670328
2005,-4.289711282222222
2006,-4.904785715555555
2007,-0.576384889
2008,-1.8107288307692306
2009,-4.313042566666667
2010,-4.452134297777778
2011,-3.2918505855555553
2012,-3.6230026923076926
2013,-3.99819725
2014,-1.3950789122222222
2015,-2.54015347
2016,-0.9155636440659342
2017,-2.9927886705555555
2018,-2.909788234888889
2019,-1.9613816633333334
