time,temperature
1851,-3.7991913066666667
1852,-6.031909330769231
1853,-3.1503317397777777
1854,-5.090236892222222
1855,-5.876472842222222
1856,-6.720901098901098
1857,-5.805477906666666
1858,-3.424026285333333
1859,-3.4583755555555555
1860,-5.1247854923076925
1861,-4.735195915555556
1862,-4.398893687777777
1863,-3.3066736133333334
1864,-3.828511351648352
1865,-5.800650668888889
1866,-4.687338275555556
1867,-4.738661645555556
1868,-7.62005809010989
1869,-4.0509861888888885
1870,-3.464599086666667
1871,-5.04057478888889
1872,-5.693443672527473
1873,-6.918796781111111
1874,-3.5546670077777778
1875,-8.074643408888889
1876,-3.2334147285714283
1877,-5.630864944444445
1878,-2.2970837122222223
1879,-6.106232417777777
1880,-1.6417192757142858
1881,-7.1832075
1882,-1.7681437422222221
1883,-5.922741636666666
1884,-5.426227565934066
1885,-7.09778591
1886,-5.363886524444444
1887,-6.266973994444444
1888,-6.230733648351648
1889,-3.883990201111111
1890,-1.00892829
1891,-4.293612515555555
1892,-2.7372326263736264
1893,-7.008647551111111
1894,-4.588949315555555
1895,-5.416998291111111
1896,-4.4100527703296715
1897,-4.298203785555556
1898,-3.464423485555556
1899,-5.1504103811111115
1900,-3.830424587777778
1901,-5.711022913333333
1902,-5.191728243333333
1903,-4.4526229144444445
1904,-8.59364030989011
1905,-8.093874866666667
1906,-2.5323554544444447
1907,-6.557873812222223
1908,-4.79576368956044
1909,-3.1643981711111113
1910,-4.976438471111111
1911,-5.338667336666666
1912,-5.754643618681319
1913,-2.2850369364
1914,-5.182750897555556
1915,-3.6621402266666667
1916,-4.134941415384615
1917,-5.9640593511111115
1918,-8.710858072222223
1919,-1.9491686233333334
1920,-7.921359761538461
1921,-2.4398708322222222
1922,-4.675774142222222
1923,-6.0784810333333334
1924,-3.4949056395604394
1925,-4.55554838
1926,-4.614448333333334
1927,-4.600328356666667
1928,-3.448821950549451
1929,-3.7795957900000006
1930,-3.755762357777778
1931,-3.840721378888889
1932,-0.29158340549450545
1933,-0.8029144421111112
1934,-7.287598577777778
1935,-5.936802443333334
1936,-7.155009604395604
1937,-1.3060540756666668
1938,-3.9804689433333333
1939,-3.7234194988888887
1940,-5.698758072527473
1941,-4.583099318888889
1942,-4.395926786444444
1943,-5.665635636666667
1944,-3.952888812087912
1945,-6.542936915555556
1946,-5.209208494444444
1947,-3.738254188888889
1948,-6.436340130769231
1949,-1.3585928668888891
1950,-2.0996199716222224
1951,-3.442912623333333
1952,-2.628109771428571
1953,-1.1377166333333333
1954,-2.2046125255555555
1955,-4.492428353333334
1956,-4.505421163736264
1957,-3.4984596448888885
1958,-3.9799016244444445
1959,-6.696115968888889
1960,-2.9775790765934067
1961,-5.541415022222222
1962,-4.81517058
1963,-6.479514431111111
1964,-4.959724567032967
1965,-4.464539455555556
1966,-3.753310415777778
1967,-3.6965190144444446
1968,-5.543209903956044
1969,-4.3650377111111105
1970,-6.752596224444444
1971,-5.5058809733333325
1972,-3.676068261098901
1973,-3.676644823333333
1974,-4.136251495555556
1975,-2.003537681111111
1976,-4.41096610989011
1977,-6.845465966666666
1978,-6.592417351111112
1979,-6.171908255555555
1980,-3.6613768585714292
1981,-5.143186635
1982,-5.433635622222222
1983,-1.4328612133333332
1984,-3.7682208073626375
1985,-3.5424530911111107
1986,-4.692570767777777
1987,-3.667453980888889
1988,-3.117613714725275
1989,-3.267822341111111
1990,-3.8210779328888886
1991,-1.9065004244444448
1992,-2.998128721978022
1993,-4.404491116888889
1994,-7.171472418888888
1995,-2.5628592217777775
1996,-5.0866913736263735
1997,-1.9268893555555555
1998,-0.7615093097777778
1999,-1.7381135211111114
2000,-2.8318315537912087
2001,-4.1458065133333335
2002,0.5484152458888889
2003,-5.857031753333333
2004,-4.995974669450549
2005,-3.9715171644444442
2006,-1.932486025111111
2007,-2.6409773422222225
2008,-2.6209214153846156
2009,-4.457096705555555
2010,-3.202790491111111
2011,-4.715502304444445
2012,-0.28505715219780237
2013,-1.9562053088888887
2014,-5.650167653333333
2015,-6.538865993333333
2016,-0.1332796571428574
2017,-0.44727925166666666
2018,-3.394713697333333
2019,-3.3401473399999997
