time,temperature
1851,-4.736011758888889
1852,-7.147564802197802
1853,-3.914061841111111
1854,-5.763262537777778
1855,-6.48298306
1856,-7.438670091208792
1857,-6.76620978111111
1858,-4.464409055555556
1859,-4.69221631111111
1860,-5.955326976923077
1861,-5.448148528888889
1862,-5.469517414444445
1863,-4.33416778
1864,-4.932256430769231
1865,-6.657953102222223
1866,-5.477247893333333
1867,-5.800330595555556
1868,-8.639722802197802
1869,-4.981177755555556
1870,-4.05412571
1871,-5.6447564
1872,-6.508136473626374
1873,-7.957747644444444
1874,-4.337226407777778
1875,-8.524053017777778
1876,-3.9749320549450555
1877,-6.540463353333333
1878,-3.759202646
1879,-6.714488211111112
1880,-2.362727934065934
1881,-7.947945895555555
1882,-3.184538437333333
1883,-6.421888891111111
1884,-5.5615220252747255
1885,-7.602747281111111
1886,-5.966770743333333
1887,-6.5507213011111105
1888,-7.12214692967033
1889,-4.618785834444445
1890,-1.438242978577778
1891,-5.2329528666666665
1892,-3.490452035164836
1893,-7.6754347111111105
1894,-5.234719017777778
1895,-6.674141654444445
1896,-5.1185108395604395
1897,-5.249748775555556
1898,-4.411402588888889
1899,-6.099334847777778
1900,-4.397654241111111
1901,-6.5518415
1902,-6.079014568888888
1903,-5.409299055555556
1904,-9.214373560439562
1905,-8.6325785
1906,-3.50454035
1907,-7.333181702222222
1908,-5.40593545934066
1909,-3.8666843844444445
1910,-6.105762936666666
1911,-6.05404537
1912,-6.5594117664835165
1913,-2.8224235113333336
1914,-6.271951242222222
1915,-4.3197271822222225
1916,-5.218282371428572
1917,-6.038868285555556
1918,-9.540678188888888
1919,-2.9453984755555553
1920,-8.541409212087911
1921,-3.589394661111111
1922,-5.8103495844444435
1923,-7.116887548888888
1924,-4.312462052747254
1925,-5.113866772222222
1926,-5.3375258444444444
1927,-5.431006484444445
1928,-4.081858934065934
1929,-4.5215630622222225
1930,-4.326593304444445
1931,-4.9024068922222215
1932,-1.4579222789010988
1933,-2.0996884584444446
1934,-7.863854736666666
1935,-6.4145303588888885
1936,-7.699311225274725
1937,-2.222020426666667
1938,-4.788301511111111
1939,-4.335125037777777
1940,-6.617483664835165
1941,-5.321498935555555
1942,-5.202510993333333
1943,-6.369434011111111
1944,-5.43939174945055
1945,-7.0850398666666665
1946,-6.131829096666666
1947,-4.332954153333333
1948,-7.6193070956043965
1949,-2.2797984344444444
1950,-3.158231844888889
1951,-3.97929651
1952,-3.5063217307692307
1953,-2.221686568888889
1954,-3.024841518888889
1955,-5.078709632222222
1956,-5.336412708791209
1957,-4.300252911111111
1958,-5.003366254444445
1959,-7.088443674444445
1960,-3.525092895604395
1961,-6.81814051111111
1962,-5.524211215555555
1963,-7.370893222222222
1964,-6.162515019780219
1965,-5.491227991111112
1966,-4.52896176
1967,-4.529271494444445
1968,-6.517575402197802
1969,-5.581659272222222
1970,-7.449623855555556
1971,-6.192785537777778
1972,-4.43110300989011
1973,-4.063018581111111
1974,-4.390868328888889
1975,-3.071758251111111
1976,-4.952752338461538
1977,-7.518382517777778
1978,-7.117620123333333
1979,-6.761096544444444
1980,-4.494185791208792
1981,-5.929228027333334
1982,-6.513260796666666
1983,-2.830653560444444
1984,-4.431145684285714
1985,-4.022595590444444
1986,-5.4496437888888885
1987,-4.9996738122222215
1988,-4.7204614219780225
1989,-4.021920058888889
1990,-4.358194743
1991,-2.592796544
1992,-3.456750846153846
1993,-5.069944396666665
1994,-7.671226933333333
1995,-3.2033953922222222
1996,-5.782489567032967
1997,-2.619714864
1998,-1.5846761633333335
1999,-2.679676932
2000,-3.859903384615385
2001,-4.8750679211111105
2002,-0.5234994533333331
2003,-6.730569433333333
2004,-6.011504678021978
2005,-4.75614753
2006,-2.8993210922222223
2007,-3.327970628888889
2008,-3.4859005186813183
2009,-5.089506139999999
2010,-4.189509895555555
2011,-5.692836488888888
2012,-1.1364293994505494
2013,-2.8433637612
2014,-6.059758203333334
2015,-7.13208592
2016,-0.8682177989010993
2017,-1.57381691
2018,-4.088482335555556
2019,-3.8690645455555552
