time,temperature
1851,-4.395934047777778
1852,-4.9165540120879125
1853,-4.222951212222222
1854,-6.990766666666666
1855,-6.3958196366666655
1856,-5.085914181318682
1857,-6.258195623333334
1858,-7.559420546666667
1859,-4.872526433333333
1860,-6.4550866384615375
1861,-5.67176915
1862,-5.506098570000001
1863,-4.18664246
1864,-6.599570791208792
1865,-6.14557280111111
1866,-3.3605583455555554
1867,-3.220232877777778
1868,-5.787742037362637
1869,-2.6996680744444443
1870,-6.209698184444444
1871,-6.944662977777778
1872,-5.922049057142857
1873,-3.53953552
1874,-5.3790283655555555
1875,-6.185299828888889
1876,-5.828800551648351
1877,-2.510764628888889
1878,-4.956241145555555
1879,-5.55339916
1880,-7.620320734065935
1881,-4.555358378888889
1882,-4.481828061111111
1883,-3.5930560577777775
1884,-3.942932312087912
1885,-4.9012783988888895
1886,-6.157790481111111
1887,-6.640521917777778
1888,-6.86991619010989
1889,-5.992356966666668
1890,-5.711298397777778
1891,-8.222842397777779
1892,-4.715309854945055
1893,-6.8762965622222225
1894,-5.36491034
1895,-8.652361528888889
1896,-5.285916704395604
1897,-4.155794465555555
1898,-4.165499917777778
1899,-3.037361008888889
1900,-4.191408775555555
1901,-6.444431262222222
1902,-4.513169982222223
1903,-4.403694125555555
1904,-5.049774415384616
1905,-5.706649929999999
1906,-5.185606415555555
1907,-6.783952688888888
1908,-4.50897570989011
1909,-6.542689152222222
1910,-3.818445002222222
1911,-4.986178225555555
1912,-2.609848523076923
1913,-4.303270571111111
1914,-5.112032216666667
1915,-4.698320437777777
1916,-2.5791865065934068
1917,-6.065584115555556
1918,-5.3938267288888895
1919,-4.192766877777777
1920,-2.758617423076923
1921,-3.29950621
1922,-5.071685913333333
1923,-4.185620216666667
1924,-5.85497079010989
1925,-3.2749705155555557
1926,-3.926592362
1927,-4.888514266666666
1928,-3.6900432593406594
1929,-8.37533918888889
1930,-3.787084857777778
1931,-5.299466902222222
1932,-5.9814119901098906
1933,-5.141687707777778
1934,-6.055923152222222
1935,-4.346189068888889
1936,-3.9554334527472523
1937,-3.3751489677777777
1938,-5.201667744444444
1939,-4.329507588888889
1940,-6.610971647252747
1941,-6.882256088888889
1942,-7.650516891111111
1943,-4.0584705322222225
1944,-4.756356853846154
1945,-6.149148251111111
1946,-4.408307658888889
1947,-7.359615053333334
1948,-3.6609995934065935
1949,-4.048733518888889
1950,-3.5485581755555557
1951,-4.461165595555556
1952,-5.306642692307692
1953,-5.961907526666667
1954,-5.498733926666666
1955,-3.665419006666667
1956,-6.0244075890109885
1957,-3.9480543022222223
1958,-3.9494458188888886
1959,-3.831658681111111
1960,-4.1114759098901095
1961,-3.434716892222222
1962,-4.0362204522222225
1963,-8.626507766666666
1964,-5.470609974725275
1965,-5.533847285555555
1966,-3.5653724963333335
1967,-4.3126590333333334
1968,-5.050476058241758
1969,-5.809092855555555
1970,-5.877487844444444
1971,-5.235201958888889
1972,-3.349980741758242
1973,-4.794840051111112
1974,-3.022228518888889
1975,-2.2867876344444444
1976,-3.828253687912088
1977,-4.107035896666667
1978,-4.613439358888889
1979,-4.956342691111111
1980,-3.651031684615385
1981,-5.968094008888889
1982,-4.716931988888889
1983,-4.030053666666666
1984,-4.932069217582418
1985,-6.146406502222222
1986,-5.388504282222223
1987,-5.270851806666667
1988,-2.646943768131868
1989,-2.638503117777778
1990,-2.1621339685555556
1991,-5.425436726666668
1992,-4.162746791208791
1993,-3.415966888888889
1994,-3.0177219388888887
1995,-2.8517829361111113
1996,-4.589901016483516
1997,-3.503698755555556
1998,-2.4866159722222223
1999,-4.3867713722222215
2000,-3.7239278472527477
2001,-2.667556902222222
2002,-3.7234767866666667
2003,-4.582728931111111
2004,-3.8110305032967036
2005,-5.140844034444444
2006,-5.85821428
2007,-1.4386675800000002
2008,-2.7006847197802197
2009,-5.1574605177777775
2010,-5.4455210166666665
2011,-4.214161711111111
2012,-4.588897401098902
2013,-4.942830677777778
2014,-2.311014948888889
2015,-3.3560451622222223
2016,-1.9747798153846154
2017,-3.8300982255555556
2018,-3.961783116666667
2019,-2.9588897466666664
