time,temperature
1851,-4.265569866666667
1852,-5.754131258241758
1853,-2.6010049840000002
1854,-5.354737322222222
1855,-5.0197441155555556
1856,-6.281961039560439
1857,-5.8674635255555545
1858,-3.9565811911111113
1859,-4.746839857777777
1860,-5.075426553846153
1861,-4.751652583333334
1862,-4.934741418888889
1863,-3.7242922299999996
1864,-3.8251455065934064
1865,-4.957302267777778
1866,-4.443768143333333
1867,-4.421411711111111
1868,-7.123287659340658
1869,-3.8296011211111107
1870,-3.0184492944444443
1871,-4.421523552222222
1872,-5.154329818681319
1873,-6.838972368888889
1874,-4.069880904444445
1875,-7.569584548888889
1876,-4.116773654945055
1877,-5.435682796666667
1878,-2.9234202433333336
1879,-5.3672549188888885
1880,-2.386510569230769
1881,-5.879926395555556
1882,-2.8862202066666667
1883,-5.822609226666667
1884,-4.737971151648352
1885,-5.66980164
1886,-4.550307974444444
1887,-5.70783181888889
1888,-5.9761382197802195
1889,-3.0910650244444446
1890,-2.1844645662222217
1891,-4.74334043888889
1892,-2.3304821450549458
1893,-6.57218549
1894,-5.375653604444444
1895,-5.112672965555555
1896,-4.156896724725275
1897,-4.292104603333333
1898,-3.5867938411111115
1899,-4.740831773333333
1900,-3.2687564177777775
1901,-5.4129553488888895
1902,-4.081687173333334
1903,-4.31613985111111
1904,-7.458399670329671
1905,-7.465284004444444
1906,-2.332328513333333
1907,-6.778419155555556
1908,-3.5282408789010997
1909,-3.6724549188888886
1910,-3.735632291111111
1911,-5.471806071111111
1912,-5.092788383516484
1913,-2.100909671244444
1914,-5.083351613333334
1915,-2.989311058888889
1916,-3.6512092824175824
1917,-5.195867602222222
1918,-8.127537806666666
1919,-2.6910050455555554
1920,-6.836778736263737
1921,-2.7952604488888886
1922,-5.041073978888889
1923,-6.804779054444444
1924,-3.380246978021978
1925,-4.296056023333334
1926,-4.504702053333333
1927,-4.274528676666666
1928,-3.0739963901098903
1929,-3.2591756377777776
1930,-3.685053663333333
1931,-3.706107593333333
1932,-1.748619790769231
1933,-0.9222445007777776
1934,-7.368983211111111
1935,-5.876659593333334
1936,-5.941943131868132
1937,-0.9264601535555557
1938,-3.938307627777778
1939,-3.4544466799999998
1940,-4.77637893956044
1941,-4.073849106666666
1942,-3.8479251859999994
1943,-5.172367135555556
1944,-4.918545897802197
1945,-5.17011194
1946,-5.444585040000001
1947,-3.3487810355555556
1948,-6.276572220879121
1949,-1.4733622466666667
1950,-2.6928798411111114
1951,-1.759134751111111
1952,-2.6987710450549454
1953,-1.2690317524444443
1954,-1.9243152141111115
1955,-3.2874427133333337
1956,-3.8571088362637362
1957,-4.079638692222223
1958,-2.817561352222222
1959,-6.315523736666666
1960,-1.9324301021978023
1961,-5.425322694444445
1962,-4.64739344111111
1963,-5.091167247777777
1964,-4.756990441758242
1965,-4.692418642222222
1966,-3.268443463333334
1967,-3.597146288888889
1968,-5.333095991208792
1969,-3.683221401111111
1970,-4.944854431111111
1971,-5.767601742222222
1972,-3.7453387263736264
1973,-3.4202574622222226
1974,-2.6364012411111113
1975,-2.3114700626666664
1976,-3.9470029846153847
1977,-5.925261156666666
1978,-5.073844037777777
1979,-4.718731882222222
1980,-3.2526380961538464
1981,-4.616824808555556
1982,-5.12668092888889
1983,-1.6259986644444446
1984,-2.768228520879121
1985,-3.3081538488888884
1986,-4.082243883333334
1987,-3.8052461766666665
1988,-3.181125752747253
1989,-3.4646771366666664
1990,-4.164294837777778
1991,-1.9465216477777778
1992,-3.418842340659341
1993,-4.375871045555555
1994,-5.985275147777777
1995,-2.260958582666667
1996,-4.390366310989012
1997,-1.634916502222222
1998,-1.0905562755555556
1999,-1.5786319422222224
2000,-2.5405402876923078
2001,-4.102277573333334
2002,-0.054244265555555615
2003,-5.41732258
2004,-4.58222881978022
2005,-3.6048468511111107
2006,-1.7147345284444446
2007,-2.57941653
2008,-2.6839147604395603
2009,-4.045842081111111
2010,-2.135553498888889
2011,-3.8793054000000002
2012,-0.5864203780219781
2013,-1.9004785219999998
2014,-4.22546657
2015,-5.302511848888888
2016,0.20658283736263727
2017,-0.9318375485555555
2018,-2.833864188111111
2019,-3.1803291922222225
