time,temperature
1851,-1.6812272066666667
1852,-1.6259518934065933
1853,-2.9291792284444447
1854,-3.67585884
1855,-6.178499372222222
1856,-4.826427114285714
1857,-3.5136887477777776
1858,-1.4320962811111113
1859,-0.6956236936666667
1860,-4.422179214285714
1861,-5.135617268888889
1862,-4.376472064666667
1863,-0.29000048766666675
1864,-2.5318183681318684
1865,-4.29347075
1866,-0.2532836784444444
1867,-4.586284453333333
1868,-4.491961221648351
1869,-1.1920800563333331
1870,-4.2418500266666666
1871,-7.922455193333334
1872,-1.9989528417582416
1873,-1.310982841111111
1874,0.3807105276666667
1875,-6.778718282222223
1876,-3.7262866296703296
1877,-5.856760951111111
1878,-1.3557818344444443
1879,-5.629843706666667
1880,-2.743974352747253
1881,-6.406083162222222
1882,0.35347488111111114
1883,-3.504878301111111
1884,-1.2953538004395604
1885,-2.6100789100000004
1886,-2.9370687044444446
1887,-1.7780042726666667
1888,-4.646180800000001
1889,-2.5350953666666665
1890,-1.031647554
1891,-3.338302491444445
1892,-3.3557807139560443
1893,-7.433639455555555
1894,-0.7022821004444444
1895,-4.8307094902222225
1896,-1.8954521193406595
1897,-4.0085023233333335
1898,-0.4148733351111111
1899,-1.570861301111111
1900,-4.44374187
1901,-3.8264237513333335
1902,-2.8812490366666665
1903,-2.244890621666667
1904,-2.244425410989011
1905,-1.7762897822222221
1906,-0.9640830324444445
1907,-3.289599024444444
1908,-2.1720209285714285
1909,-2.8039334044444444
1910,-1.4443482633333333
1911,-1.1303992727999999
1912,-3.1652440274725278
1913,-0.6738778677777778
1914,-1.204429578888889
1915,-1.8433303811111112
1916,-3.2560781945054944
1917,-4.742976166666667
1918,-3.4523023533333332
1919,-2.624398004222222
1920,-2.277845645934066
1921,-1.4237590400000002
1922,-3.677092618888889
1923,-1.8174876919933334
1924,-5.044636070329671
1925,1.258300157222222
1926,-3.8749054177777777
1927,-1.856767577777778
1928,-3.760438232967033
1929,-5.376511795555556
1930,0.31144752444444446
1931,-2.408526873111111
1932,-0.6209109186813186
1933,-1.3959865511111111
1934,-0.8123002898888889
1935,-0.7214895588888889
1936,-2.2659914010989013
1937,-1.4049714522222223
1938,-1.7387406237777778
1939,-0.5673388944444445
1940,-7.006915056043956
1941,-6.906539921111111
1942,-8.289570322222223
1943,-1.0591599293333334
1944,-1.0868310912087913
1945,-1.3813133197777776
1946,-2.8931448755555556
1947,-5.769763039777778
1948,-3.695307404395605
1949,1.154942223111111
1950,-1.8970106346666666
1951,-2.5076885444444446
1952,-0.6828517043956044
1953,-2.781233808888889
1954,-3.3025765066666666
1955,-2.974041098888889
1956,-5.548917656043956
1957,-0.2813052914444444
1958,-3.9657312637777777
1959,-2.546785957777778
1960,-3.114921251098901
1961,-0.5941106755555555
1962,-2.0227022144444446
1963,-7.144116299999999
1964,-2.5104117967032966
1965,-2.1718550233333334
1966,-7.341706111111111
1967,-2.669793966666666
1968,-4.884660360439561
1969,-3.982825855555556
1970,-7.970709615555554
1971,-0.9762048739999998
1972,-1.6219015714285714
1973,0.9531211550333334
1974,-0.1023643993333333
1975,0.7870691122222222
1976,-1.7264756318681322
1977,-4.136235432222222
1978,-2.5640157035555555
1979,-7.222694815555555
1980,-4.622609671428572
1981,-2.1306359893333333
1982,-6.300380595555556
1983,-0.611572529111111
1984,-2.0682460512087912
1985,-6.385103342222222
1986,-5.924730676666666
1987,-5.455654952222223
1988,-0.1264030778021978
1989,1.7980949155555557
1990,1.7128142411111114
1991,-1.0903065055555556
1992,1.0402793274725275
1993,-0.11487022266666666
1994,-3.231228811111111
1995,-0.2055607966666666
1996,-5.20619850989011
1997,-2.269546818555556
1998,0.2989357296666667
1999,-1.7374557522222223
2000,-0.2923854296703296
2001,-1.0686844277777778
2002,-0.2965072483333333
2003,-3.9584021444444444
2004,-1.5469004901098902
2005,0.0646736699999999
2006,-2.641904663777778
2007,0.7201218671111111
2008,1.864981067032967
2009,-1.6164049533333333
2010,-5.882627904444444
2011,-5.176125514444444
2012,-0.9478549582417582
2013,-3.6088572044444445
2014,0.9237295522222222
2015,0.2832458880888889
2016,-0.7057723623076926
2017,0.10673019333333339
2018,-1.3104608137777778
2019,-0.09429259399999997
